farm_id,region,country,crop,variety,area_hectares,planting_date,harvest_date,rainfall_mm,temperature_avg,soil_ph,organic_matter,nitrogen_applied,phosphorus_applied,potassium_applied,yield_tons_per_ha,farmer_experience_years,extension_contact,mechanization_level,market_distance_km,pest_pressure,disease_pressure,soil_fertility_rating
F001,west_africa,nigeria,maize,SAMMAZ-15,2.5,2023-04-15,2023-08-20,785,27.5,6.2,2.8,120,40,60,4.8,15,yes,medium,25,low,medium,good
F002,west_africa,ghana,rice,NERICA-2,1.8,2023-05-10,2023-09-25,1250,26.8,5.9,3.2,100,30,80,5.2,8,yes,low,45,medium,low,good
F003,east_africa,kenya,wheat,Digalu,5.2,2023-03-20,2023-07-15,580,18.5,6.1,3.8,110,35,50,3.8,22,yes,high,18,low,medium,excellent
F004,southern_africa,south_africa,maize,PAN-53,12.0,2023-10-15,2024-02-28,420,24.2,6.8,2.9,180,60,90,6.5,18,no,high,8,low,low,excellent
F005,west_africa,mali,millet,SOSAT-C88,3.2,2023-06-05,2023-09-20,285,31.2,7.2,1.2,40,15,25,1.8,25,no,low,85,high,low,poor
F006,east_africa,ethiopia,teff,local_variety,1.5,2023-02-28,2023-07-10,650,16.8,6.4,4.1,60,20,30,1.6,12,yes,low,65,medium,high,good
F007,west_africa,nigeria,yam,local_variety,0.8,2023-03-25,2023-12-15,920,28.1,5.8,4.2,45,25,35,16.8,20,no,low,35,medium,medium,good
F008,east_africa,tanzania,rice,SARO-5,2.2,2023-04-12,2023-08-30,1185,25.9,5.5,2.6,90,25,70,4.2,10,yes,medium,52,medium,medium,fair
F009,southern_africa,zambia,maize,ZM-421,4.5,2023-11-20,2024-04-15,680,23.8,6.1,3.2,140,45,65,5.1,16,yes,medium,28,low,medium,good
F010,west_africa,burkina_faso,sorghum,ICSV-400,6.8,2023-05-25,2023-10-10,450,29.5,6.5,1.8,65,20,40,2.5,18,no,low,75,medium,low,fair
F011,east_africa,uganda,bananas,local_variety,1.2,2023-01-15,2023-12-31,1380,24.5,5.7,3.9,80,30,50,22.5,14,yes,low,22,high,high,good
F012,southern_africa,zimbabwe,maize,SC-403,3.8,2023-10-28,2024-03-20,485,25.1,5.5,2.2,95,30,45,3.2,12,no,medium,48,medium,medium,fair
F013,west_africa,senegal,millet,local_variety,4.2,2023-06-15,2023-10-25,245,32.8,7.8,1.5,35,12,20,1.2,22,no,low,95,high,low,poor
F014,east_africa,kenya,maize,H-614,2.8,2023-03-10,2023-07-25,720,21.2,6.3,3.5,130,40,70,5.8,9,yes,medium,32,low,low,excellent
F015,central_africa,cameroon,plantain,local_variety,1.5,2023-02-20,2024-01-10,1650,26.2,4.8,5.1,50,20,35,18.2,16,no,low,58,high,high,fair
F016,west_africa,ivory_coast,cocoa,Trinitario,2.0,2023-01-01,2023-12-31,1420,26.8,5.4,3.8,65,25,40,1.5,25,yes,low,42,high,high,good
F017,east_africa,rwanda,beans,local_variety,0.5,2023-02-15,2023-06-20,980,18.5,5.3,4.5,45,20,25,2.2,8,yes,low,28,medium,medium,excellent
F018,southern_africa,malawi,maize,ZM-623,2.5,2023-11-05,2024-03-25,755,24.8,5.9,2.6,110,35,55,3.8,14,yes,low,38,medium,medium,good
F019,west_africa,liberia,rice,NERICA-1,1.8,2023-04-20,2023-09-05,1580,25.5,4.7,5.2,85,20,60,3.8,6,no,low,68,high,medium,fair
F020,east_africa,burundi,beans,climbing_variety,0.8,2023-02-28,2023-07-15,1120,19.2,5.5,4.2,50,25,30,2.8,11,yes,low,45,medium,high,good
F021,southern_africa,botswana,sorghum,NK-283,8.5,2023-11-15,2024-04-10,385,28.5,7.5,1.4,70,25,45,2.0,20,no,medium,125,medium,low,poor
F022,west_africa,nigeria,cassava,TMS-30572,1.2,2023-03-15,2024-02-20,865,27.8,5.2,4.1,35,15,25,14.5,18,no,low,55,medium,high,good
F023,east_africa,tanzania,maize,DK-8053,3.5,2023-03-25,2023-08-10,820,24.2,6.0,3.2,125,40,65,4.9,13,yes,medium,28,low,medium,good
F024,west_africa,ghana,yam,Pona,1.0,2023-04-05,2024-01-15,1085,27.2,5.6,3.6,40,20,30,15.2,22,no,low,42,medium,medium,good
F025,southern_africa,namibia,maize,local_variety,15.2,2023-12-01,2024-05-15,285,26.8,7.8,1.1,85,25,40,1.8,15,no,high,185,high,low,poor
F026,east_africa,sudan,sorghum,local_variety,12.5,2023-05-20,2023-10-05,320,31.5,7.6,1.6,55,18,35,2.2,28,no,low,225,medium,low,poor
F027,west_africa,mali,rice,local_variety,2.8,2023-06-10,2023-11-20,485,29.8,6.8,2.1,75,20,50,3.5,16,no,low,95,medium,medium,fair
F028,east_africa,ethiopia,wheat,Kakaba,4.2,2023-02-15,2023-06-30,520,17.5,6.2,3.8,100,30,45,3.2,19,yes,medium,48,low,medium,good
F029,southern_africa,mozambique,cassava,local_variety,2.5,2023-10-20,2024-09-15,785,26.5,5.8,2.8,30,12,20,11.8,12,no,low,85,high,high,fair
F030,central_africa,chad,millet,local_variety,8.2,2023-06-25,2023-11-10,195,33.2,7.9,0.9,25,8,15,0.8,35,no,low,285,high,low,very_poor
F031,west_africa,togo,maize,local_variety,1.8,2023-04-10,2023-08-15,720,27.5,6.1,2.5,95,30,50,3.8,11,yes,low,32,medium,medium,good
F032,east_africa,somalia,sorghum,local_variety,5.5,2023-04-15,2023-08-25,185,32.8,8.1,1.2,45,15,30,1.5,25,no,low,185,high,medium,poor
F033,southern_africa,lesotho,wheat,local_variety,2.2,2023-04-20,2023-09-05,485,14.8,6.5,3.2,85,25,35,2.8,14,yes,medium,55,low,high,good
F034,west_africa,guinea,rice,local_variety,1.5,2023-05-05,2023-09-20,1485,25.8,5.1,4.2,70,18,45,4.2,9,no,low,75,medium,high,fair
F035,east_africa,djibouti,vegetables,mixed,0.5,2023-03-01,2023-07-30,125,29.5,7.8,2.1,150,50,80,8.5,12,yes,high,15,low,low,good
F036,southern_africa,swaziland,sugarcane,local_variety,8.8,2023-02-15,2024-08-30,850,22.5,6.2,2.8,120,35,90,85.2,20,yes,high,25,medium,medium,excellent
F037,west_africa,benin,maize,local_variety,2.8,2023-04-25,2023-09-10,985,27.2,6.3,3.1,105,35,55,4.2,16,no,medium,48,medium,medium,good
F038,east_africa,eritrea,sorghum,local_variety,6.2,2023-05-15,2023-10-20,285,28.5,7.2,1.5,50,18,35,1.8,22,no,low,155,medium,low,poor
F039,central_africa,car,cassava,local_variety,1.8,2023-03-20,2024-02-25,1285,25.8,4.9,4.8,25,10,18,10.5,15,no,low,125,high,high,fair
F040,west_africa,sierra_leone,rice,local_variety,2.2,2023-05-01,2023-09-15,1680,26.2,4.8,4.5,65,15,40,3.8,13,no,low,85,high,high,fair
