field_id,date,ph,moisture,temperature,conductivity,nitrogen,phosphorus,potassium,organic_matter
Champ_A,2025-05-12,6.7,52.2,24.3,1.43,42.2,29.3,221.1,3.13
Champ_A,2025-05-13,6.8,32.0,11.1,1.03,40.6,28.9,216.6,2.37
Champ_A,2025-05-14,7.04,52.3,18.3,0.77,42.0,28.5,214.2,3.8
Champ_A,2025-05-15,6.63,51.5,15.6,1.76,43.6,26.1,233.9,2.52
Champ_A,2025-05-16,6.79,31.5,12.7,1.26,45.8,28.6,224.5,3.26
Champ_A,2025-05-17,6.45,46.4,16.2,1.52,44.6,24.7,228.9,3.19
Champ_A,2025-05-18,6.61,62.3,22.1,1.48,41.1,27.6,229.0,4.28
Champ_A,2025-05-19,6.65,52.8,13.6,0.84,46.1,31.0,225.0,4.3
Champ_A,2025-05-20,6.82,47.3,19.4,1.66,43.5,31.4,199.5,4.16
Champ_A,2025-05-21,6.77,51.4,18.4,0.6,43.0,29.0,240.5,3.09
Champ_A,2025-05-22,6.59,49.0,21.7,1.3,42.0,29.3,226.7,4.27
Champ_A,2025-05-23,6.61,51.1,16.4,0.76,44.5,28.8,225.7,3.31
Champ_A,2025-05-24,6.47,50.0,16.6,0.96,43.1,29.0,244.6,3.64
Champ_A,2025-05-25,6.8,54.1,10.3,1.19,43.8,33.2,223.8,3.74
Champ_A,2025-05-26,6.74,41.0,22.6,1.43,46.0,26.4,239.7,2.38
Champ_A,2025-05-27,6.87,81.3,14.0,1.03,43.9,27.2,210.2,3.55
Champ_A,2025-05-28,6.54,60.7,14.3,1.66,41.3,27.6,233.8,2.52
Champ_A,2025-05-29,6.79,70.7,11.6,1.26,44.4,29.8,213.3,2.44
Champ_A,2025-05-30,6.85,58.6,19.0,1.3,41.6,28.7,228.6,2.93
Champ_A,2025-05-31,7.12,60.7,13.2,1.4,40.7,29.8,237.3,2.84
Champ_A,2025-06-01,6.94,60.0,21.3,1.77,42.9,26.7,216.8,2.85
Champ_A,2025-06-02,6.73,59.1,19.1,1.45,43.7,31.1,223.0,5.68
Champ_A,2025-06-03,6.87,44.7,13.7,1.34,42.9,29.7,230.4,3.44
Champ_A,2025-06-04,6.58,36.8,16.2,1.46,44.3,25.7,227.4,3.81
Champ_A,2025-06-05,6.57,56.8,18.2,0.86,44.7,29.4,236.5,4.34
Champ_A,2025-06-06,6.47,43.7,20.1,1.35,45.2,35.9,231.4,4.41
Champ_A,2025-06-07,6.94,62.8,16.7,1.43,41.3,27.8,220.8,3.57
Champ_A,2025-06-08,7.21,32.6,20.7,0.72,42.2,30.4,226.3,2.64
Champ_A,2025-06-09,6.61,63.2,15.1,1.26,43.8,26.9,247.1,4.01
Champ_A,2025-06-10,6.34,57.2,15.4,1.46,41.2,28.0,230.7,4.19
Champ_A,2025-06-11,6.51,51.0,16.1,1.0,48.9,29.0,213.1,4.23
Champ_B,2025-05-12,7.81,46.5,19.8,1.43,52.5,17.3,133.1,2.68
Champ_B,2025-05-13,7.51,40.0,24.5,0.77,54.0,17.7,179.9,2.35
Champ_B,2025-05-14,7.79,55.1,14.1,1.34,55.9,16.2,166.2,3.19
Champ_B,2025-05-15,7.58,62.9,24.3,0.83,61.7,13.5,164.0,3.97
Champ_B,2025-05-16,7.62,47.5,17.2,1.05,53.6,19.1,169.0,2.95
Champ_B,2025-05-17,7.74,58.7,21.3,1.39,52.8,16.3,172.9,3.99
Champ_B,2025-05-18,7.56,56.4,23.1,1.02,57.0,17.0,163.3,4.38
Champ_B,2025-05-19,7.73,64.8,23.2,1.21,57.4,16.8,168.7,3.4
Champ_B,2025-05-20,7.58,62.1,14.7,1.83,52.3,15.0,177.1,4.13
Champ_B,2025-05-21,7.69,62.5,18.0,0.93,55.6,16.0,175.2,3.38
Champ_B,2025-05-22,7.4,51.1,19.7,1.03,52.9,17.9,167.9,3.09
Champ_B,2025-05-23,7.47,57.8,12.2,0.78,53.2,17.0,168.6,4.68
Champ_B,2025-05-24,7.73,53.1,17.9,0.9,55.3,16.8,168.7,2.84
Champ_B,2025-05-25,7.66,73.4,17.6,1.32,57.4,16.6,167.7,3.51
Champ_B,2025-05-26,7.58,45.7,18.1,1.35,59.7,19.3,187.0,2.89
Champ_B,2025-05-27,7.74,57.2,26.8,0.96,52.8,16.2,144.2,3.08
Champ_B,2025-05-28,7.41,56.8,19.4,1.76,58.2,16.2,156.5,3.89
Champ_B,2025-05-29,7.3,77.0,22.7,1.06,50.2,20.1,164.3,4.49
Champ_B,2025-05-30,7.24,47.8,18.0,1.21,54.0,18.6,154.8,3.39
Champ_B,2025-05-31,7.59,61.2,20.8,0.86,50.7,20.0,168.8,2.9
Champ_B,2025-06-01,7.87,56.4,22.7,1.22,61.5,20.9,163.0,4.28
Champ_B,2025-06-02,7.69,71.4,14.1,1.41,58.5,13.9,153.6,1.87
Champ_B,2025-06-03,7.51,63.6,24.0,1.22,60.2,14.6,148.4,3.46
Champ_B,2025-06-04,7.64,54.6,9.7,1.17,51.4,18.7,169.1,2.75
Champ_B,2025-06-05,7.46,42.3,17.7,1.49,52.4,18.4,160.2,2.87
Champ_B,2025-06-06,7.54,42.6,15.8,0.84,61.2,17.5,158.5,3.67
Champ_B,2025-06-07,7.54,52.3,20.5,1.43,53.7,16.3,162.7,1.66
Champ_B,2025-06-08,7.26,71.4,24.6,1.13,57.1,18.0,196.3,4.4
Champ_B,2025-06-09,7.54,43.5,11.6,1.26,53.1,14.6,159.0,2.63
Champ_B,2025-06-10,7.9,65.6,18.0,1.64,55.6,15.7,180.7,3.93
Champ_B,2025-06-11,7.35,52.7,14.5,0.79,58.1,21.2,151.5,3.95
Champ_C,2025-05-12,6.18,45.0,19.1,1.18,39.4,20.2,148.3,4.1
Champ_C,2025-05-13,6.27,43.3,18.4,1.43,35.1,23.1,147.5,3.96
Champ_C,2025-05-14,6.02,33.3,11.5,1.21,40.9,20.2,160.5,2.17
Champ_C,2025-05-15,6.16,40.5,15.4,1.21,37.5,21.3,164.1,3.04
Champ_C,2025-05-16,6.34,41.4,20.1,1.63,32.7,20.4,159.9,3.34
Champ_C,2025-05-17,6.25,47.8,18.3,1.15,43.6,22.5,157.5,3.17
Champ_C,2025-05-18,6.08,49.8,19.6,1.07,41.0,26.2,162.8,3.24
Champ_C,2025-05-19,6.41,50.1,9.8,0.9,34.5,21.3,154.3,4.84
Champ_C,2025-05-20,6.24,52.4,21.3,0.54,40.8,23.6,139.3,4.42
Champ_C,2025-05-21,6.24,50.0,20.5,1.88,40.7,22.5,149.5,2.82
Champ_C,2025-05-22,6.34,44.7,18.3,1.06,41.6,22.7,164.5,3.09
Champ_C,2025-05-23,6.12,43.3,16.2,1.31,42.4,20.2,162.8,4.58
Champ_C,2025-05-24,6.26,77.5,14.9,0.83,34.8,25.0,160.6,3.46
Champ_C,2025-05-25,6.23,41.5,27.8,1.24,40.5,23.5,158.9,3.68
Champ_C,2025-05-26,6.02,60.7,25.5,1.6,44.9,21.0,144.2,3.4
Champ_C,2025-05-27,6.19,68.1,11.2,1.66,39.7,21.2,144.0,2.18
Champ_C,2025-05-28,6.34,55.9,12.8,0.81,39.1,25.4,151.5,2.3
Champ_C,2025-05-29,6.13,51.7,7.2,1.18,39.4,23.4,172.6,4.4
Champ_C,2025-05-30,6.12,41.7,28.3,1.22,40.2,22.0,156.1,3.38
Champ_C,2025-05-31,6.06,48.4,17.9,1.04,38.0,22.3,151.5,4.7
Champ_C,2025-06-01,5.64,68.1,23.0,0.58,39.1,21.3,140.0,2.88
Champ_C,2025-06-02,5.95,76.0,21.7,1.58,42.3,19.8,148.8,3.89
Champ_C,2025-06-03,5.93,63.6,17.0,1.09,42.3,22.9,150.5,4.43
Champ_C,2025-06-04,5.96,62.4,20.4,1.11,41.1,19.5,163.3,3.35
Champ_C,2025-06-05,6.07,67.6,15.2,0.78,35.5,23.3,141.3,4.9
Champ_C,2025-06-06,5.76,75.4,18.8,1.17,38.5,22.8,153.7,4.38
Champ_C,2025-06-07,6.2,56.8,16.5,1.18,41.1,18.6,140.6,4.09
Champ_C,2025-06-08,6.21,52.8,18.1,1.3,38.5,20.5,156.0,2.72
Champ_C,2025-06-09,6.26,34.6,22.1,1.34,40.9,24.0,170.7,4.31
Champ_C,2025-06-10,5.81,39.6,15.5,1.21,41.7,20.6,155.9,2.9
Champ_C,2025-06-11,6.05,38.1,14.3,0.79,37.2,24.1,144.6,5.61
Champ_D,2025-05-12,6.63,56.5,28.2,1.17,50.3,19.3,200.7,4.92
Champ_D,2025-05-13,6.62,76.7,20.8,1.03,48.7,22.7,207.2,2.24
Champ_D,2025-05-14,6.6,52.0,17.7,1.39,47.4,18.0,204.8,3.99
Champ_D,2025-05-15,6.86,68.0,21.3,1.34,46.6,17.4,205.3,3.67
Champ_D,2025-05-16,6.8,39.7,13.7,1.52,46.7,22.1,201.3,3.52
Champ_D,2025-05-17,6.93,48.8,18.4,1.06,45.5,20.1,203.2,3.12
Champ_D,2025-05-18,7.0,44.3,17.3,1.07,51.2,21.1,211.3,2.31
Champ_D,2025-05-19,6.8,65.7,18.3,1.52,45.3,23.5,224.0,3.21
Champ_D,2025-05-20,6.66,72.4,24.3,1.04,45.6,20.1,187.6,2.77
Champ_D,2025-05-21,6.55,45.8,17.9,1.27,51.5,18.7,210.9,3.33
Champ_D,2025-05-22,6.74,63.1,13.5,1.31,47.3,21.7,203.9,5.46
Champ_D,2025-05-23,6.62,48.6,15.5,1.03,44.9,23.1,215.2,3.04
Champ_D,2025-05-24,6.58,60.7,15.8,1.39,47.5,17.7,216.5,4.94
Champ_D,2025-05-25,6.62,50.3,19.1,1.3,48.8,24.7,199.2,2.86
Champ_D,2025-05-26,6.47,46.2,17.9,1.74,45.3,21.2,200.8,4.45
Champ_D,2025-05-27,7.25,48.6,16.0,1.51,48.9,24.4,206.8,3.21
Champ_D,2025-05-28,6.86,68.3,21.3,1.35,50.0,23.0,214.8,4.02
Champ_D,2025-05-29,6.71,56.8,22.8,0.95,48.0,19.9,201.3,4.52
Champ_D,2025-05-30,6.78,55.6,12.6,1.42,48.8,25.0,197.9,3.68
Champ_D,2025-05-31,6.8,73.9,17.6,1.28,48.7,21.1,196.5,3.66
Champ_D,2025-06-01,6.96,42.7,18.5,0.99,50.4,17.7,195.4,3.8
Champ_D,2025-06-02,7.06,54.2,15.8,1.76,42.5,16.3,205.4,3.1
Champ_D,2025-06-03,6.54,63.5,19.0,1.03,43.0,22.5,207.5,3.42
Champ_D,2025-06-04,7.12,42.2,11.9,0.99,46.7,21.2,198.6,3.78
Champ_D,2025-06-05,6.5,72.3,17.7,1.54,47.9,21.6,206.7,3.86
Champ_D,2025-06-06,6.88,70.9,18.8,1.41,46.6,23.6,194.2,4.94
Champ_D,2025-06-07,6.74,37.8,18.5,1.0,49.4,19.4,196.5,1.99
Champ_D,2025-06-08,6.66,25.9,11.7,1.43,49.2,21.6,191.3,3.46
Champ_D,2025-06-09,6.75,41.1,24.0,1.46,46.2,20.8,203.1,1.87
Champ_D,2025-06-10,6.7,46.8,14.0,1.12,52.2,22.0,195.3,3.96
Champ_D,2025-06-11,7.03,66.1,18.2,1.01,48.9,21.5,210.0,4.01
Champ_E,2025-05-12,7.44,46.7,24.9,1.26,37.7,30.6,182.7,3.84
Champ_E,2025-05-13,7.13,48.1,17.9,1.84,44.8,32.5,186.3,3.6
Champ_E,2025-05-14,7.15,42.7,17.0,0.7,40.8,32.9,181.1,4.76
Champ_E,2025-05-15,6.78,37.4,18.9,1.51,44.7,30.7,196.7,3.47
Champ_E,2025-05-16,6.99,65.6,20.6,0.73,44.1,34.3,179.7,3.82
Champ_E,2025-05-17,7.12,58.1,15.8,1.0,39.6,33.9,191.4,3.2
Champ_E,2025-05-18,7.18,20.8,22.6,0.68,38.6,29.3,173.0,4.43
Champ_E,2025-05-19,6.93,59.2,17.8,1.34,39.9,29.0,195.9,3.1
Champ_E,2025-05-20,6.71,49.9,24.0,1.46,38.6,30.9,182.7,5.16
Champ_E,2025-05-21,7.1,60.2,22.1,1.27,38.9,31.2,185.2,3.47
Champ_E,2025-05-22,7.17,55.6,20.9,1.18,39.9,27.6,195.1,3.78
Champ_E,2025-05-23,7.22,20.2,26.4,1.16,43.0,29.5,192.1,2.66
Champ_E,2025-05-24,6.9,78.0,17.2,1.27,42.3,32.6,187.4,3.79
Champ_E,2025-05-25,7.51,54.3,18.8,1.52,43.0,34.0,192.3,2.59
Champ_E,2025-05-26,7.35,41.2,19.2,0.97,39.5,32.2,189.1,3.84
Champ_E,2025-05-27,7.35,60.4,17.0,1.49,43.2,29.1,191.9,4.06
Champ_E,2025-05-28,6.97,71.5,17.4,1.24,39.1,31.6,175.0,2.35
Champ_E,2025-05-29,7.34,44.8,14.0,0.55,37.7,28.9,202.3,4.31
Champ_E,2025-05-30,6.89,82.0,21.9,1.1,32.1,36.2,172.0,2.18
Champ_E,2025-05-31,7.23,84.3,23.5,1.37,41.4,33.3,193.5,3.72
Champ_E,2025-06-01,7.05,54.2,15.0,1.12,34.6,31.4,176.0,2.62
Champ_E,2025-06-02,7.06,71.7,21.7,0.73,36.7,33.5,176.1,3.32
Champ_E,2025-06-03,7.13,43.4,18.4,0.8,37.8,32.2,170.0,3.85
Champ_E,2025-06-04,7.02,61.6,18.9,1.61,40.0,30.7,187.2,3.93
Champ_E,2025-06-05,7.03,55.5,15.2,1.0,35.4,35.1,173.5,2.95
Champ_E,2025-06-06,6.88,65.7,16.8,1.57,37.6,32.1,177.6,5.22
Champ_E,2025-06-07,6.79,58.7,20.5,1.32,39.1,31.3,186.4,3.38
Champ_E,2025-06-08,7.22,81.5,15.8,0.79,39.4,36.7,177.9,4.81
Champ_E,2025-06-09,7.36,48.4,20.3,1.69,38.5,31.2,180.1,2.69
Champ_E,2025-06-10,6.89,40.3,18.1,0.97,40.3,28.5,189.2,4.17
Champ_E,2025-06-11,6.63,59.5,22.9,0.84,44.7,32.4,178.9,3.46
