element,image_path,caption,diagnostic,recommandation
Mn,deficiencies/Mn\1.jpg,a close up of a leaf with brown spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\10.jpg,a plant with the names of the names of each plants,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\11.jpg,a close up of a plant with green leaves and brown spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\12.jpg,a close up of a green plant with leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\13.jpg,a close up of a plant with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\14.jpg,a col of photos showing the leaves and the leaves of a cannabis plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\15.jpg,a close up of a leaf with a green background,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\16.jpg,a leaf with yellow spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\17.jpg,a close up of a tomato plant with green leaves and brown spots on the leaves - stock photo,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\18.jpg,a close up of a leaf,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\19.jpg,the leaves of the plant are yellow and green,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\2.jpg,a close up of a leaf with yellow spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\20.jpg,four different types of leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\21.jpg,a person holding a plant with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\22.jpg,a leaf with yellow leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\23.jpg,a selection of leaves with yellow and green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\24.jpg,a green leaf on a tree branch,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\25.jpg,a leaf with yellow spots on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\26.jpg,a young tomato plant growing in the garden - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\27.jpg,a close up of a plant with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\28.jpg,magnesium vs magnesium deficiency,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\29.jpg,how to treat magnesium deficiency plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\3.jpg,a person holding a leaf in their hand,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\30.jpg,a close up of a leaf with brown spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\31.jpg,"a leaf with the words, ` ` ' and ` '",Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\32.jpg,a green leaf with a small leaf on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\33.jpg,a close up of a leaf with black spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\34.jpg,a pot filled with soil and a plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\35.jpg,a leaf with the letter f on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\36.jpg,a plant with yellow spots on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\37.jpg,a close up of a green leaf with black spots on it - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\38.jpg,a close up of a leaf on a plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\39.jpg,a leaf with green leaves on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\4.jpg,a close up of a leaf with green leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\40.jpg,a close up of a yellow leaf with brown spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\41.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\42.jpg,a close up of a plant with water droplets,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\43.jpg,a close up of a green leaf with yellow leaves in the background - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\44.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\45.jpg,a hand holding a marijuana plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\46.jpg,a green plant with leaves and brown spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\47.jpg,a diagram of the plant ' s life cycle,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\48.jpg,a leaf with a few leaves on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\49.jpg,a close up of a green leaf,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\5.jpg,a close up of a leaf with white spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\50.jpg,a plant with brown spots on it,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\51.jpg,a plant with seeds and leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\52.jpg,a green leaf with yellow spots,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\53.jpg,a close up of a leaf with a blury background,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\54.jpg,"a plant with a sign on it that says, ' m '",Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\55.jpg,a diagram of the different types of leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\56.jpg,a close up of a green leaf with white background - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\57.jpg,a close up of a leaf,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\58.jpg,four images of marijuana leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\59.jpg,a bunch of avocas growing on a tree,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\6.jpg,a close up of a green plant with leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\60.jpg,a plant with leaves and leaves that have been eaten,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\61.jpg,green leaves stock photo image of plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\62.jpg,a leaf with a yellow and green pattern,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\63.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\64.jpg,the plant life cycle,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\65.jpg,a close up of a plant with green leaves on a black background - stock image,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\66.jpg,a close up of a green plant with leaves,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\67.jpg,a bunch of leaves with the names of different plants,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\7.jpg,error,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\8.jpg,a man in a lab coat is looking at a marijuana plant,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Mn,deficiencies/Mn\9.jpg,a tree with leaves and the words ronald ' s defence,Carence en Mn,Appliquer un engrais foliaire au MnSO₄
Zn,deficiencies/Zn\1.jpg,a close up of a plant with green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\10.jpg,a close up of a green leaf on a bush - stock image,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\11.jpg,a col of four photos showing the different leaves and leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\12.jpg,a close up of a green plant with leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\13.jpg,a leaf with a white spot on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\14.jpg,a leaf with a brown substance on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\15.jpg,a plant with leaves and leaves on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\16.jpg,a series of photos showing the different stages of the plant,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\17.jpg,a bunch of leaves and a bunch of leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\18.jpg,a close up of a plant with yellow flowers,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\19.jpg,a close up of a leaf with a green background,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\2.jpg,a small green plant with leaves and leaves on a black background - stock image,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\20.jpg,a person holding a leaf in their hand,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\21.jpg,a group of leaves with green leaves on them,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\22.jpg,a plant with the names of its parts,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\23.jpg,a leaf with yellow and green leaves on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\24.jpg,a pot with a cannabis plant in it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\25.jpg,a plant with a tag on it,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\26.jpg,the different parts of a plant,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\27.jpg,two green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\28.jpg,a leaf with yellow and green leaves hanging from a tree,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\29.jpg,soy plants in a field,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\3.jpg,a close up of a green and yellow leaf - stock image,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\30.jpg,a field of corn,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\31.jpg,a close up of a lemon tree with green leaves and yellow fruit - stock image,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\32.jpg,a col of photos of plants and plants,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\33.jpg,a large green leaf,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\34.jpg,a close up of a plant with green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\35.jpg,how to identify and fix nutrient deficiency plants,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\36.jpg,a leaf with light green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\37.jpg,a tomato and a button with the word ' i ' m ',Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\38.jpg,corn corn growing in the field,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\39.jpg,a close up of a green leaf,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\4.jpg,a close up of a leaf with a blur of the background,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\40.jpg,a plant with green leaves growing in the ground,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\41.jpg,a close up of a plant with green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\42.jpg,two leaves on a blue background,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\43.jpg,explain efficiency plants and how they grow,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\44.jpg,a close up of a green plant with leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\45.jpg,error,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\5.jpg,a hand holding two green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\6.jpg,green leaves of a plant in the forest,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\7.jpg,green leaves stock photo royalty illustration of green leaves,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\8.jpg,green leaves background stock photo royalty illustration,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Zn,deficiencies/Zn\9.jpg,the leaves of the plant are showing different stages,Carence en Zn,Utiliser un engrais foliaire à base de ZnSO₄
Cu,deficiencies/Cu\1.jpg,a close up of a bush of green leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\10.jpg,a plant with a leaf and a leaf with a leaf,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\11.jpg,a plant with leaves and a blue sky in the background,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\12.jpg,a col of photos showing the different types of plants,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\13.jpg,a plant in a pot,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\14.jpg,a plant with a leaf and a leaf with a leaf,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\15.jpg,a fruit on a tree branch with the words ' ' ' ' ' ' ' ' ' ' ',Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\16.jpg,a leaf with brown spots on it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\17.jpg,a plant with green leaves in a dark room,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\18.jpg,a bunch of green leaves on a table,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\19.jpg,a leaf with yellow spots,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\2.jpg,a close up of a flower,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\20.jpg,a small bird sitting on top of a grass covered field,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\21.jpg,a pile of leaves and plants with dirt on the ground,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\22.jpg,a plant with long green leaves on it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\23.jpg,5 common nutrient deficiency plants,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\24.jpg,a leaf with yellow spots on it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\25.jpg,a close up of a plant with green leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\26.jpg,a plant with brown spots on it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\27.jpg,a plant with the names of its parts,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\28.jpg,a plant with green leaves and yellow stems,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\29.jpg,a plant with four different leaves and one has a stem,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\3.jpg,two pictures of plants with different colors,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\30.jpg,a box of vitamins and a box of vitamins,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\31.jpg,the different parts of a plant,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\32.jpg,a book with a bunch of different types of leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\33.jpg,a plant with two leaves and two leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\34.jpg,a person holding a leaf with a small plant in the background,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\35.jpg,a leaf with brown spots,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\36.jpg,how to grow organic food,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\37.jpg,a woman holding a pot with a plant in it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\38.jpg,a group of leaves with yellow light on them,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\39.jpg,a close up of a plant with green leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\4.jpg,a leaf with brown spots on it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\40.jpg,a col of photos of plants and plants,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\41.jpg,a greenhouse with plants growing inside,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\42.jpg,a close up view of a green leaf with brown spots on it - stock image,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\43.jpg,a plant with a stem and leaves in a vase,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\44.jpg,a leaf with the letter c on it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\45.jpg,poison deficiency cannabis plants,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\46.jpg,a poster with a picture of plants and plants,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\47.jpg,error,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\48.jpg,a close up of a green leaf with yellow spots,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\49.jpg,error,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\5.jpg,a close up of a leaf with green leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\50.jpg,a person in blue gloves and gloves is dumping a bag of com com com com com com com com,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\51.jpg,a person holding a plant with green leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\52.jpg,a field of corn,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\53.jpg,two images of plants with dirt and soil,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\54.jpg,a person holding a handful of soil,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\55.jpg,a set of four different stages of the plant,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\56.jpg,a person holding a seed in their hand with the text fix copper deficiency organic,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\57.jpg,a plant with many different types of leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\58.jpg,a person planting plants in a garden with text overlay,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\59.jpg,a plant with green leaves growing in the center of a blue background,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\6.jpg,a close up of a plant with leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\60.jpg,the symptoms of the symptoms of the symptoms of the symptoms of the symptoms of the symptoms of the symptoms,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\61.jpg,a screen shot of a leaf chart,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\62.jpg,a bunch of tomatoes growing on a vine,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\63.jpg,the logo for the internet and the word internet,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\64.jpg,a variety of leaf varieties,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\7.jpg,"a plant with the words, functions of open and un plant",Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\8.jpg,a close up of a plant with green leaves,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
Cu,deficiencies/Cu\9.jpg,a leaf with brown spots on it,Carence en Cu,Pulvériser un engrais cuivrique (sulfate de cuivre)
B,deficiencies/B\1.jpg,a close up of a leaf with brown spots,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\10.jpg,banana plants in the field,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\11.jpg,a close up of a plant with brown spots,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\12.jpg,a leaf with a blue sky in the background,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\13.jpg,a plant with green leaves growing in the ground,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\14.jpg,a close up of a plant with leaves,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\15.jpg,two leaves with green leaves on them,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\16.jpg,a close up of a plant with leaves,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\17.jpg,a plant with a leaf that is growing from the ground,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\18.jpg,a hand holding a bunch of riped strawberries,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\19.jpg,a col of four images showing the different types of plants,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\2.jpg,a leaf with a green leaf and a white leaf with a green leaf,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\20.jpg,two photos of a plant with roots and roots,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\21.jpg,a plant with a white sign that says b,Carence en B,Appliquer du borax ou acide borique à faible dose
B,deficiencies/B\22.jpg,a close up of a leaf with yellow spots,Carence en B,Appliquer du borax ou acide borique à faible dose
